Country,Capital,Capital Latitude,Captial Longitude,Continent
Egypt,Cairo,30.05,31.25,Africa
El Salvador,San Salvador,13.7,-89.2,Central America
Equatorial Guinea,Malabo,3.75,8.783333,Africa
Eritrea,Asmara,15.333333333333336,38.933333000000005,Africa
Estonia,Tallinn,59.43333333333333,24.716667,Europe
Ethiopia,Addis Ababa,9.033333333333333,38.7,Africa
Falkland Islands,Stanley,-51.7,-57.85,South America
Faroe Islands,Torshavn,62.0,-6.766667,Europe
Fiji,Suva,-18.133333333333333,178.416667,Australia
Finland,Helsinki,60.16666666666666,24.933332999999998,Europe
France,Paris,48.86666666666667,2.333333,Europe
French Polynesia,Papeete,-17.533333333333335,-149.566667,Australia
Gabon,Libreville,0.38333333333333336,9.45,Africa
The Gambia,Banjul,13.45,-16.566667000000002,Africa
Georgia,Tbilisi,41.68333333333333,44.833333,Europe
Germany,Berlin,52.51666666666666,13.4,Europe
Ghana,Accra,5.55,-0.216667,Africa
Gibraltar,Gibraltar,36.13333333333333,-5.35,Europe
Greece,Athens,37.98333333333333,23.733333,Europe
Greenland,Nuuk,64.18333333333334,-51.75,Central America
Grenada,Saint George's,12.05,-61.75,North America
Guam,Hagatna,13.466666666666667,144.73333300000002,Australia
Guatemala,Guatemala City,14.616666666666667,-90.516667,Central America
Guernsey,Saint Peter Port,49.45,-2.5333330000000003,Europe
Guinea,Conakry,9.5,-13.7,Africa
Guinea-Bissau,Bissau,11.85,-15.583332999999998,Africa
Guyana,Georgetown,6.8,-58.15,South America
Haiti,Port-au-Prince,18.53333333333333,-72.333333,North America
Vatican City,Vatican City,41.9,12.45,Europe
Honduras,Tegucigalpa,14.1,-87.216667,Central America
Hungary,Budapest,47.5,19.083333,Europe
Iceland,Reykjavik,64.15,-21.95,Europe
India,New Delhi,28.6,77.2,Asia
Indonesia,Jakarta,-6.166666666666668,106.816667,Asia
Iran,Tehran,35.7,51.416667,Asia
Iraq,Baghdad,33.333333333333336,44.4,Asia
Ireland,Dublin,53.31666666666667,-6.233333,Europe
Isle of Man,Douglas,54.15,-4.483333,Europe
Israel,Jerusalem,31.766666666666666,35.233333,Asia
Italy,Rome,41.9,12.483333,Europe
Jamaica,Kingston,18.0,-76.8,North America
Japan,Tokyo,35.68333333333333,139.75,Asia
Jersey,Saint Helier,49.18333333333333,-2.1,Europe
Jordan,Amman,31.95,35.933333000000005,Asia
Kazakhstan,Astana,51.16666666666666,71.416667,Asia
Kenya,Nairobi,-1.2833333333333332,36.816666999999995,Africa
Kiribati,Tarawa,-0.8833333333333333,169.533333,Australia
North Korea,Pyongyang,39.016666666666666,125.75,Asia
South Korea,Seoul,37.55,126.983333,Asia
Kosovo,Pristina,42.66666666666666,21.166667,Europe
Kuwait,Kuwait City,29.36666666666667,47.966667,Asia
Kyrgyzstan,Bishkek,42.86666666666667,74.6,Asia
Laos,Vientiane,17.966666666666665,102.6,Asia
Latvia,Riga,56.95,24.1,Europe
Lebanon,Beirut,33.86666666666667,35.5,Asia
Lesotho,Maseru,-29.316666666666666,27.483333000000002,Africa
Liberia,Monrovia,6.3,-10.8,Africa
Libya,Tripoli,32.88333333333333,13.166667000000002,Africa
Liechtenstein,Vaduz,47.13333333333333,9.516667,Europe
Lithuania,Vilnius,54.68333333333333,25.316667000000002,Europe
Luxembourg,Luxembourg,49.6,6.116667,Europe
Macedonia,Skopje,42.0,21.433332999999998,Europe
Madagascar,Antananarivo,-18.916666666666668,47.516667,Africa
Malawi,Lilongwe,-13.966666666666667,33.783333,Africa
Malaysia,Kuala Lumpur,3.1666666666666665,101.7,Asia
Maldives,Male,4.166666666666667,73.5,Asia
Mali,Bamako,12.65,-8.0,Africa
Malta,Valletta,35.88333333333333,14.5,Europe
Marshall Islands,Majuro,7.1,171.383333,Australia
Mauritania,Nouakchott,18.066666666666666,-15.966667000000001,Africa
Mauritius,Port Louis,-20.15,57.483332999999995,Africa
Mexico,Mexico City,19.433333333333334,-99.133333,Central America
Federated States of Micronesia,Palikir,6.916666666666668,158.15,Australia
Moldova,Chisinau,47.0,28.85,Europe
Monaco,Monaco,43.73333333333333,7.4166669999999995,Europe
Mongolia,Ulaanbaatar,47.91666666666666,106.91666699999999,Asia
Montenegro,Podgorica,42.43333333333333,19.266667,Europe
Montserrat,Plymouth,16.7,-62.216667,North America
Morocco,Rabat,34.016666666666666,-6.816667,Africa
Mozambique,Maputo,-25.95,32.583333,Africa
Namibia,Windhoek,-22.566666666666666,17.083333,Africa
Nepal,Kathmandu,27.716666666666665,85.31666700000001,Asia
Netherlands,Amsterdam,52.35,4.9166669999999995,Europe
New Caledonia,Noumea,-22.266666666666666,166.45,Australia
New Zealand,Wellington,-41.3,174.783333,Australia
Nicaragua,Managua,12.133333333333333,-86.25,Central America
Niger,Niamey,13.516666666666667,2.1166669999999996,Africa
Nigeria,Abuja,9.083333333333334,7.533333,Africa
Niue,Alofi,-19.016666666666666,-169.916667,Australia
Northern Mariana Islands,Saipan,15.2,145.75,Australia
Norway,Oslo,59.91666666666666,10.75,Europe
Oman,Muscat,23.61666666666667,58.583332999999996,Asia
Pakistan,Islamabad,33.68333333333333,73.05,Asia
Palau,Melekeok,7.4833333333333325,134.633333,Australia
Panama,Panama City,8.966666666666667,-79.533333,Central America
Papua New Guinea,Port Moresby,-9.45,147.183333,Australia
Paraguay,Asuncion,-25.266666666666666,-57.666667000000004,South America
Peru,Lima,-12.05,-77.05,South America
Philippines,Manila,14.6,120.96666699999999,Asia
Pitcairn Islands,Adamstown,-25.066666666666666,-130.083333,Australia
Poland,Warsaw,52.25,21.0,Europe
Portugal,Lisbon,38.71666666666667,-9.133333,Europe
Puerto Rico,San Juan,18.466666666666665,-66.116667,North America
Qatar,Doha,25.28333333333333,51.533333,Asia
Romania,Bucharest,44.43333333333333,26.1,Europe
Russia,Moscow,55.75,37.6,Europe
Rwanda,Kigali,-1.95,30.05,Africa
Saint Barthelemy,Gustavia,17.883333333333333,-62.85,North America
Saint Helena,Jamestown,-15.933333333333335,-5.716667,Africa
Saint Kitts and Nevis,Basseterre,17.3,-62.716667,North America
Saint Lucia,Castries,14.0,-61.0,North America
Saint Pierre and Miquelon,Saint-Pierre,46.76666666666666,-56.183333,Central America
Saint Vincent and the Grenadines,Kingstown,13.133333333333333,-61.216667,Central America
Samoa,Apia,-13.816666666666665,-171.76666699999998,Australia
San Marino,San Marino,43.93333333333333,12.416667,Europe
Sao Tome and Principe,Sao Tome,0.3333333333333333,6.733333,Africa
Saudi Arabia,Riyadh,24.65,46.7,Asia
Senegal,Dakar,14.733333333333333,-17.633333,Africa
Serbia,Belgrade,44.83333333333334,20.5,Europe
Seychelles,Victoria,-4.616666666666667,55.45,Africa
Sierra Leone,Freetown,8.483333333333333,-13.233332999999998,Africa
Singapore,Singapore,1.2833333333333332,103.85,Asia
Sint Maarten,Philipsburg,18.016666666666666,-63.033333,North America
Slovakia,Bratislava,48.15,17.116667,Europe
Slovenia,Ljubljana,46.05,14.516667000000002,Europe
Solomon Islands,Honiara,-9.433333333333334,159.95,Australia
Somalia,Mogadishu,2.066666666666667,45.333333,Africa
South Africa,Pretoria,-25.7,28.216666999999998,Africa
South Sudan,Juba,4.85,31.616667,Africa
Spain,Madrid,40.4,-3.683333,Europe
Sri Lanka,Colombo,6.916666666666668,79.833333,Asia
Sudan,Khartoum,15.6,32.533333,Africa
Suriname,Paramaribo,5.833333333333332,-55.166667000000004,South America
Svalbard,Longyearbyen,78.21666666666667,15.633332999999999,Europe
Swaziland,Mbabane,-26.316666666666666,31.133333,Africa
Sweden,Stockholm,59.33333333333334,18.05,Europe
Switzerland,Bern,46.91666666666666,7.466667,Europe
Syria,Damascus,33.5,36.3,Asia
Taiwan,Taipei,25.03333333333333,121.516667,Asia
Tajikistan,Dushanbe,38.55,68.766667,Asia
Tanzania,Dar es Salaam,-6.8,39.283333,Africa
Thailand,Bangkok,13.75,100.516667,Asia
Timor-Leste,Dili,-8.583333333333334,125.6,Asia
Togo,Lome,6.116666666666666,1.216667,Africa
Tonga,Nuku'alofa,-21.133333333333333,-175.2,Australia
Trinidad and Tobago,Port of Spain,10.65,-61.516667000000005,North America
Tunisia,Tunis,36.8,10.183333,Africa
Turkey,Ankara,39.93333333333333,32.866667,Europe
Turkmenistan,Ashgabat,37.95,58.38333299999999,Asia
Turks and Caicos Islands,Grand Turk,21.466666666666665,-71.133333,North America
Tuvalu,Funafuti,-8.516666666666667,179.216667,Australia
Uganda,Kampala,0.31666666666666665,32.55,Africa
Ukraine,Kyiv,50.43333333333333,30.516666999999998,Europe
United Arab Emirates,Abu Dhabi,24.466666666666665,54.36666700000001,Asia
United Kingdom,London,51.5,-0.083333,Europe
United States,Washington D.C.,38.883333,-77.0,Central America
Uruguay,Montevideo,-34.85,-56.166667000000004,South America
Uzbekistan,Tashkent,41.31666666666667,69.25,Asia
Vanuatu,Port-Vila,-17.733333333333334,168.316667,Australia
Venezuela,Caracas,10.483333333333333,-66.866667,South America
Vietnam,Hanoi,21.03333333333333,105.85,Asia
US Virgin Islands,Charlotte Amalie,18.35,-64.93333299999999,North America
Wallis and Futuna,Mata-Utu,-13.95,-171.933333,Australia
Yemen,Sanaa,15.35,44.2,Asia
Zambia,Lusaka,-15.416666666666664,28.283333000000002,Africa
Zimbabwe,Harare,-17.816666666666666,31.033333000000002,Africa
Northern Cyprus,North Nicosia,35.183333000000005,33.366667,Europe
British Indian Ocean Territory,Diego Garcia,-7.3,72.4,Africa
